x,y,t
23.587606394185894,60.791428837178294,0.25
23.589482788371786,60.792307674356586,0.5
23.591359182557675,60.79318651153488,0.75
23.593235576743567,60.79406534871316,1.0
23.59511197092946,60.79494418589145,1.25
23.59698836511535,60.795823023069744,1.5
23.59886475930124,60.796701860248035,1.75
23.60074115348713,60.797580697426326,2.0
23.602617547673024,60.79845953460462,2.25
23.604493941858916,60.7993383717829,2.5
23.606370336044805,60.80021720896119,2.75
23.608246730230697,60.801096046139484,3.0
23.61012312441659,60.801974883317776,3.25
23.61199951860248,60.80285372049607,3.5
23.613875912788373,60.80373255767436,3.75
23.61575230697426,60.80461139485265,4.0
23.617628701160154,60.805490232030934,4.25
23.619505095346046,60.806369069209225,4.5
23.621381489531938,60.807247906387516,4.75
23.623257883717827,60.80812674356581,5.0
23.62513427790372,60.8090055807441,5.25
23.62701067208961,60.80988441792239,5.5
23.628887066275503,60.810763255100674,5.75
23.63076346046139,60.811642092278966,6.0
23.6326336,60.812518,6.25
23.6326336,60.812518,6.5
23.6326336,60.812518,6.75
23.6326336,60.812518,7.0
23.6326336,60.812518,7.25
23.6326336,60.812518,7.5
23.6326336,60.812518,7.75
23.6326336,60.812518,8.0
23.6326336,60.812518,8.25
23.6326336,60.812518,8.5
23.6326336,60.812518,8.75
23.6326336,60.812518,9.0
23.6326336,60.812518,9.25
23.6326336,60.812518,9.5
23.6326336,60.812518,9.75
23.6326336,60.812518,10.0
23.6326336,60.812518,10.25
23.6326336,60.812518,10.5
23.6326336,60.812518,10.75
23.6326336,60.812518,11.0
23.6326336,60.812518,11.25
23.6326336,60.812518,11.5
23.6326336,60.812518,11.75
23.6326336,60.812518,12.0
23.6326336,60.812518,12.25
23.6326336,60.812518,12.5
23.6326336,60.812518,12.75
23.6326336,60.812518,13.0
23.6326336,60.812518,13.25
23.6326336,60.812518,13.5
23.6326336,60.812518,13.75
23.6326336,60.812518,14.0
23.6326336,60.812518,14.25
23.6326336,60.812518,14.5
23.6326336,60.812518,14.75
23.6326336,60.812518,15.0
23.6326336,60.812518,15.25
23.6326336,60.812518,15.5
23.6326336,60.812518,15.75
23.6326336,60.812518,16.0
23.6326336,60.812518,16.25
23.6326336,60.812518,16.5
23.6326336,60.812518,16.75
23.6326336,60.812518,17.0
23.6326336,60.812518,17.25
23.6326336,60.812518,17.5
23.6326336,60.812518,17.75
23.6326336,60.812518,18.0
23.6326336,60.812518,18.25
23.6326336,60.812518,18.5
23.6326336,60.812518,18.75
23.6326336,60.812518,19.0
23.6326336,60.812518,19.25
23.6326336,60.812518,19.5
23.6326336,60.812518,19.75
23.6326336,60.812518,20.0
23.6326336,60.812518,20.25
23.6326336,60.812518,20.5
23.6326336,60.812518,20.75
23.6326336,60.812518,21.0
23.632636415326818,60.812517776770065,21.25
23.633481013372574,60.81245080779004,21.5
23.63432561141833,60.81238383881002,21.75
23.635170209464086,60.812316869830006,22.0
23.635846450966053,60.81226325,22.25
23.635846450966053,60.81226325,22.5
23.635846450966053,60.81226325,22.75
23.635846450966053,60.81226325,23.0
23.635846450966053,60.81226325,23.25
23.635846450966053,60.81226325,23.5
23.635846450966053,60.81226325,23.75
23.635846450966053,60.81226325,24.0
23.635846450966053,60.81226325,24.25
23.635846450966053,60.81226325,24.5
23.635846450966053,60.81226325,24.75
23.635846450966053,60.81226325,25.0
23.635846450966053,60.81226325,25.25
23.635846450966053,60.81226325,25.5
23.635846450966053,60.81226325,25.75
23.635846450966053,60.81226325,26.0
23.635846450966053,60.81226325,26.25
23.635846450966053,60.81226325,26.5
23.635846450966053,60.81226325,26.75
23.635846450966053,60.81226325,27.0
23.635846450966053,60.81226325,27.25
